,Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,lat,lng,education level,national flights,international flights,Mean_Weather
0,Albania,5847.06,5847.06,2877.8,105.029,0.0,0.0,41.09417692307693,20.045953846153846,62.547760009765604,0.0,110.0,
1,Argentina,9730.91,9730.91,45195.777,16.515,0.0,0.0,-34.184776129032244,-63.93370258064519,79.986701965332,395.0,164.0,23.74833333333333
2,Armenia,4759.21,4759.21,2963.2340000000004,104.083,0.0,0.0,40.314125,44.810091666666665,43.3109016418457,0.0,299.0,
3,Aruba,26469.45,26469.45,106.766,593.144,0.0,0.0,12.5304,-70.029,17.0025901794434,2.0,470.0,
4,Australia,52952.27,52952.27,25499.881,3.319,3.2568181818181814,4.0,-30.06169311926604,140.47238761467887,86.5545501708984,0.0,50.0,24.029060279020776
5,Austria,51330.46,51330.46,9006.4,109.289,0.0,0.0,47.66742000000001,14.30087,80.3867874145508,6.0,1335.0,2.4223140495867765
6,Azerbaijan,4718.93,4718.93,10139.175,122.664,0.0,0.0,40.22210810810812,47.38414864864865,21.4404296875,0.0,418.0,
7,Bahrain,25507.49,25507.49,1701.5829999999999,2238.925,0.0,0.0,26.2361,50.5831,36.451358795166,0.0,1173.0,
8,Bangladesh,2067.54,2067.54,164689.383,1265.187,0.0,0.0,24.072831249999997,89.9763875,,903.0,804.0,20.946927374301676
9,Belarus,6744.24,6744.24,9449.321,46.568999999999996,0.0,0.0,53.604693333333344,27.80218666666666,91.0297698974609,,,1.3983333333333328
10,Belgium,45979.69,45979.69,11589.616000000002,382.74800000000005,1.0,1.0,50.69181999999999,4.581799999999999,72.3095703125,0.0,18.0,5.462777777777778
11,Belize,4978.34,4978.34,397.621,17.432000000000002,0.0,0.0,17.3522,-88.57064285714286,24.1847991943359,2.0,157.0,25.903225806451612
12,Bosnia and Herzegovina,6009.57,6009.57,3280.815,64.33,0.0,0.0,44.341883333333335,17.802183333333332,45.6279296875,0.0,45.0,3.0883333333333334
13,Botswana,8116.17,8116.17,2351.625,4.149,0.0,0.0,-22.345384000000003,24.910792,25.0077095031738,0.0,188.0,
14,Brazil,8955.65,8955.65,212559.40899999999,25.430999999999997,0.0,0.0,-15.552564341085258,-47.71376795865634,46.44657897949221,11918.0,1333.0,26.318955613577042
15,Brunei Darussalam,28396.71,28396.71,437.483,83.014,0.0,0.0,4.745075,114.71402499999999,,0.0,310.0,27.986666666666668
16,Bulgaria,10133.07,10133.07,6948.445,64.006,0.0,0.0,42.859214814814806,25.251518518518516,66.5383377075195,,,3.8122222222222213
17,Burkina Faso,757.613,757.613,20903.278000000002,76.40100000000001,0.0,0.0,12.226187878787876,-1.8238151515151513,4.7759099006652805,0.0,59.0,
18,Burundi,312.732,312.732,11890.781,463.037,0.0,0.0,-3.3318894736842104,29.789410526315798,4.40817022323608,0.0,75.0,
19,Canada,47931.46,47931.46,37742.157,4.15,1.4722222222222223,3.0,52.928436400000045,-91.94891119999997,,15515.0,8873.0,-8.503707224334605
20,Chile,15854.65,15854.65,19116.209,25.71,0.0,0.0,-34.80091190476192,-71.64710595238093,83.8164367675781,2.0,28.0,18.89600000000001
21,China,10872.5,10872.5,1439323.774,153.312,253.412735114348,16678.0,35.192323979591805,113.99095102040822,30.1620693206787,97250.0,16290.0,0.25146350783340027
22,Colombia,6744.01,6744.01,50882.884000000005,45.861000000000004,0.0,0.0,5.907812499999998,-74.65676111111114,50.1038208007813,5955.0,1993.0,14.066666666666665
23,Costa Rica,12690.59,12690.59,5094.1140000000005,99.76700000000001,0.0,0.0,9.952515384615387,-84.16417692307694,50.0085296630859,69.0,817.0,
24,Cyprus,28626.57,28626.57,1207.361,130.667,0.0,0.0,34.99529999999999,33.28576666666667,47.52524185180661,0.0,631.0,12.508333333333333
25,Denmark,61732.57,61732.57,5792.203,136.512,0.0,0.0,55.94996666666666,10.631316666666667,81.2370300292969,,,5.116129032258064
26,Ecuador,6250.12,6250.12,17643.06,71.038,0.0,0.0,-1.2831512195121952,-79.86115609756098,40.480861663818395,140.0,406.0,
27,Egypt,3478.11,3478.11,102334.403,102.802,0.0,0.0,28.758545238095238,31.095176190476195,30.316120147705107,790.0,2110.0,14.855577299412916
28,El Salvador,4126.15,4126.15,6486.201,313.041,0.0,0.0,13.692614285714287,-88.89231428571429,29.168479919433604,6.0,898.0,27.670833333333338
29,Ethiopia,1066.2,1066.2,114963.58300000001,114.964,0.0,0.0,8.968449999999997,38.63358055555555,,0.0,1214.0,21.109523809523804
30,Fiji,6737.43,6737.43,896.444,49.066,0.0,0.0,-17.491325,178.17704999999998,,0.0,85.0,27.573333333333338
31,Finland,50774.2,50774.2,5540.718000000001,18.233,1.0,1.0,62.6932375,25.323191666666673,91.06578826904301,,,0.5472527472527469
32,France,42643.95,42643.95,65273.512,119.209,4.5,6.0,46.718444827586175,2.612991379310344,62.1468696594238,72.0,241.0,8.022809667673721
33,Georgia,4626.41,4626.41,3989.175,57.406000000000006,0.0,0.0,42.079046666666656,43.270133333333334,34.7521286010742,0.0,346.0,
34,Germany,47992.32,47992.32,83783.945,240.372,8.9375,12.0,51.07180689655171,9.940479310344827,61.0564193725586,99.0,784.0,5.626530612244893
35,Ghana,2266.41,2266.41,31072.945,136.56,0.0,0.0,7.501056521739132,-1.1295043478260869,14.3049898147583,0.0,364.0,29.094915254237286
36,Greece,20845.32,20845.32,10423.056,80.862,0.0,0.0,38.67224516129032,23.68586129032258,110.16268157959,963.0,958.0,9.114999999999993
37,Guatemala,4807.55,4807.55,17915.567,167.185,0.0,0.0,15.032707692307694,-90.46517307692307,18.325839996337894,2.0,563.0,22.28874999999999
38,Honduras,2593.93,2593.93,9904.608,88.521,0.0,0.0,14.804160000000001,-87.161835,21.2045593261719,28.0,219.0,26.388699360341153
39,Hong Kong SAR,50460.39,50460.39,7496.988,7139.9890000000005,9.615384615384617,17.0,22.305,114.185,,1.0,6337.0,
40,Hungary,18535.15,18535.15,9660.35,106.709,0.0,0.0,47.15880416666665,19.046462499999997,57.01671981811521,0.0,548.0,2.223333333333333
41,Iceland,66601.88,66601.88,341.25,3.404,0.0,0.0,64.85616666666668,-19.763744444444445,,2.0,242.0,0.09354838709677424
42,India,2338.12,2338.12,1380004.385,464.149,1.8333333333333333,3.0,21.680076886792445,79.27441981132075,23.8901100158691,14523.0,4840.0,20.40135869565217
43,Indonesia,4464.57,4464.57,273523.62100000004,150.987,0.0,0.0,-3.6014224299065405,113.47306448598134,31.2855606079102,16253.0,4127.0,
44,Ireland,80264.84,80264.84,4937.795999999999,71.67699999999999,0.0,0.0,53.25988823529413,-7.589185294117649,73.1684799194336,,,7.112322274881522
45,Islamic Republic of Iran,5503.08,5503.08,83992.95300000001,51.575,0.0,0.0,33.968682812500006,51.980003124999996,,,,7.206944444444443
46,Israel,44474.07,44474.07,8655.541,399.97900000000004,0.0,0.0,32.09158333333333,34.99146666666667,66.2765426635742,7.0,1073.0,14.945000000000002
47,Italy,33431.25,33431.25,60461.828,205.555,2.0,2.0,42.36766428571429,12.728869642857143,63.4550704956055,227.0,626.0,8.886644046884621
48,Jamaica,5698.63,5698.63,2961.1609999999996,273.422,0.0,0.0,18.154573333333335,-77.20134666666667,27.8326797485352,95.0,945.0,
49,Japan,43043.42,43043.42,126476.45800000001,346.934,9.785714285714286,22.0,36.39277466666667,136.92627866666663,62.4116287231445,356.0,7755.0,6.74050880626223
50,Kazakhstan,9672.0,9672.0,18776.707,6.955,0.0,0.0,48.332630208333335,68.39428750000002,50.130550384521506,0.0,38.0,-8.795000000000003
51,Kenya,2151.5,2151.5,53771.3,94.478,0.0,0.0,-0.5800606557377048,36.925883606557385,,438.0,1308.0,23.26886632825716
52,Korea,31246.04,31246.04,51269.183,527.298,0.0,0.0,36.37689032258064,127.60249354838707,,,,2.4461904761904774
53,"Korea, North",0.0,0.0,0.0,0.0,0.0,0.0,39.93122857142857,126.866575,,,,
54,Kuwait,28882.72,28882.72,4270.563,239.65,0.0,0.0,29.261366666666664,47.90673333333333,27.0270500183105,0.0,1707.0,15.60999999999999
55,Latvia,19104.84,19104.84,1886.2020000000002,30.325,0.0,0.0,56.885120353982295,24.764148672566385,66.9548797607422,1.0,328.0,
56,Lebanon,10042.78,10042.78,6825.441999999999,667.199,0.0,0.0,33.9337875,35.741725,45.94596862792971,0.0,643.0,
57,Lesotho,1357.78,1357.78,2142.252,70.562,0.0,0.0,-29.541269999999997,28.03641,10.1483097076416,0.0,42.0,
58,Liberia,688.2810000000001,688.2810000000001,5057.677,52.50899999999999,0.0,0.0,6.204417647058823,-9.58585294117647,,0.0,81.0,
59,Libya,5129.19,5129.19,6871.286999999999,3.905,0.0,0.0,29.876594871794868,16.552838461538464,,0.0,49.0,
60,Lithuania,20355.0,20355.0,2722.2909999999997,43.43600000000001,0.0,0.0,55.31003518518518,23.706761111111106,71.9697036743164,0.0,256.0,2.288333333333333
61,Madagascar,490.906,490.906,27691.019,47.596000000000004,0.0,0.0,-18.730978571428572,46.919575,4.24579000473022,0.0,72.0,21.483333333333334
62,Malaysia,11484.51,11484.51,32365.998,98.512,6.545454545454546,10.0,4.009121212121212,105.41567878787878,38.5328216552734,3607.0,6191.0,27.78104265402843
63,Maldives,16620.42,16620.42,540.5419999999999,1801.807,0.0,0.0,3.5587047619047625,73.23415714285714,,0.0,457.0,28.970833333333328
64,Malta,32019.43,32019.43,441.539,1379.809,0.0,0.0,35.91973823529412,14.425360294117649,45.680450439453104,0.0,178.0,
65,Marshall Islands,4001.13,4001.13,59.193999999999996,328.856,0.0,0.0,7.103,171.38,,0.0,12.0,28.525
66,Mauritania,1426.84,1426.84,4649.66,4.511,0.0,0.0,18.78508181818182,-12.869900000000001,5.46515989303589,0.0,42.0,
67,Mauritius,11720.62,11720.62,1271.767,626.486,0.0,0.0,-20.2414,57.5083,39.72568893432621,0.0,145.0,
68,Mexico,10405.79,10405.79,128932.75300000001,66.325,0.0,0.0,22.471223936170194,-101.1142872340425,29.2085800170898,9399.0,6367.0,26.591666666666665
69,Mongolia,4363.9,4363.9,3278.292,2.11,0.0,0.0,47.47981851851852,103.65298888888891,62.24863052368161,0.0,124.0,-23.32583333333334
70,Morocco,3464.02,3464.02,36910.558,82.70299999999999,0.0,0.0,32.93327619047619,-6.9378761904761905,22.4666805267334,26.0,468.0,12.671666666666669
71,Mozambique,521.831,521.831,31255.435,39.746,0.0,0.0,-18.76257878787879,35.836896969696966,5.0432300567627,0.0,110.0,
72,Nepal,1176.58,1176.58,29136.807999999997,203.25599999999997,1.0,1.0,27.819680952380956,83.9727,16.928150177002,0.0,535.0,13.073076923076922
73,New Zealand,42084.4,42084.4,4822.233,18.314,0.0,0.0,-40.61379215686275,166.8252980392157,79.7142868041992,1164.0,62.0,17.470757575757577
74,Nicaragua,1869.62,1869.62,6624.554,55.049,0.0,0.0,12.347152631578949,-85.69748421052631,,0.0,221.0,28.837222222222227
75,Norway,78333.22,78333.22,5421.241999999999,14.842,0.0,0.0,63.14672702702701,12.284859459459458,76.1179275512695,,,2.9373626373626367
76,Pakistan,0.0,0.0,220892.331,286.546,0.0,0.0,30.887263414634152,71.04719999999999,10.370380401611301,624.0,1006.0,20.435000000000002
77,Palau,17378.1,17378.1,18.092,39.33,0.0,0.0,7.4441999999999995,134.5734,61.863800048828104,,,27.024999999999995
78,Panama,17148.32,17148.32,4314.768,58.041000000000004,0.0,0.0,8.581482352941176,-80.31394705882352,38.739349365234396,2.0,2359.0,
79,Paraguay,5904.86,5904.86,7132.53,17.953,0.0,0.0,-24.41617631578947,-57.19957894736843,,24.0,210.0,27.83833333333333
80,Peru,7316.97,7316.97,32971.846,25.759,0.0,0.0,-9.925585393258428,-75.71437078651687,,2239.0,1056.0,18.198675496688743
81,Philippines,3484.9,3484.9,109581.085,367.51199999999994,1.5,2.0,12.083664406779668,122.70293728813559,33.613029479980504,3718.0,3591.0,27.11833333333334
82,Poland,15988.04,15988.04,37846.605,123.589,0.0,0.0,52.308342307692314,18.912880769230767,71.15869140625,0.0,347.0,2.793133696309744
83,Portugal,23731.13,23731.13,10196.707,111.33,0.0,0.0,39.31074166666666,-10.8834875,66.22161865234379,,,13.098006644518266
84,Puerto Rico,32100.4,32100.4,2860.84,322.53,0.0,0.0,18.248415517241376,-66.33582241379314,85.3358383178711,9.0,1766.0,25.667777777777776
85,Qatar,70736.88,70736.88,2881.06,248.153,0.0,0.0,25.497650000000004,51.4213375,13.6160497665405,0.0,3295.0,
86,Romania,13414.49,13414.49,19237.682,83.58,0.0,0.0,45.75772857142856,25.11367142857143,52.168140411377,378.0,658.0,2.7733333333333356
87,Russia,11305.12,11305.12,0.0,0.0,2.0,2.0,56.48203989455184,74.14709437609834,77.9964828491211,,,-10.341878669275943
88,Rwanda,873.332,873.332,12952.208999999999,525.019,0.0,0.0,-2.071216666666667,29.752341666666666,7.5292501449585,0.0,298.0,
89,Saudi Arabia,22533.26,22533.26,34813.867,16.195,0.0,0.0,24.598025000000003,43.394856250000004,54.881561279296896,3566.0,4213.0,17.053658536585367
90,Senegal,1494.31,1494.31,16743.93,86.96799999999999,0.0,0.0,14.31776,-15.39058,,0.0,0.0,23.589999999999996
91,Serbia,7991.58,7991.58,8737.37,99.90100000000001,0.0,0.0,44.26976827586208,20.754302758620693,56.3808784484863,,,5.5083333333333355
92,Seychelles,17178.63,17178.63,98.34,213.783,0.0,0.0,-4.6166,55.45,3.14232993125916,0.0,102.0,
93,Singapore,64829.22,64829.22,5850.343000000001,8357.633,9.923076923076923,24.0,1.2930000000000001,103.8558,,13.0,6296.0,27.84166666666666
94,Slovenia,27452.32,27452.32,2078.9320000000002,103.22399999999999,0.0,0.0,46.236750471698116,15.090261792452822,85.2218475341797,,,
95,South Africa,6193.17,6193.17,59308.69,48.891000000000005,0.0,0.0,-29.36146805555555,25.863194444444446,19.66282081604,4363.0,1276.0,20.61
96,Spain,30734.12,30734.12,46754.782999999996,93.735,1.0,1.0,39.23129795918367,-4.263840816326532,87.0657730102539,,,9.52315711094565
97,Sri Lanka,4152.21,4152.21,21413.25,341.465,1.0,1.0,7.518426666666667,80.4328,18.9372501373291,44.0,983.0,25.99500000000001
98,Sudan,759.706,759.706,43849.269,24.843000000000004,0.0,0.0,14.886522857142856,31.40889714285714,16.9246692657471,0.0,367.0,
99,Sweden,51892.08,51892.08,10099.27,24.612,1.0,1.0,59.717731428571405,15.979368571428573,63.39294052124021,,,-0.06900000000000032
100,Switzerland,86673.5,86673.5,8654.618,219.016,0.0,0.0,47.075793749999995,8.134237500000001,56.26816177368161,,,5.013333333333334
101,Taiwan,25525.81,25525.81,23816.775,672.6,6.642857142857142,11.0,24.235818518518517,120.75831111111111,,0.0,5820.0,18.44516129032258
102,Tajikistan,910.982,910.982,9537.642,68.145,0.0,0.0,38.786187500000004,69.57576250000001,22.644220352172894,0.0,8.0,
103,Thailand,8193.82,8193.82,69799.978,136.624,12.571428571428573,25.0,14.083065476190484,101.01313571428574,51.3787994384766,3867.0,3928.0,28.987096774193553
104,Tunisia,3327.72,3327.72,11818.618,76.072,0.0,0.0,35.243044444444436,9.960544444444443,34.1435317993164,29.0,301.0,13.471666666666668
105,Turkey,9683.57,9683.57,84339.067,109.584,0.0,0.0,39.19601868131868,35.083489010989005,78.98194885253909,956.0,1098.0,5.319205298013247
106,Ukraine,3881.66,3881.66,43733.759000000005,75.492,0.0,0.0,48.85016078431371,31.66313333333332,80.07086181640629,280.0,830.0,2.1349999999999993
107,United Arab Emirates,37375.27,37375.27,9890.4,118.306,4.428571428571429,5.0,25.14805,55.511062499999994,19.1907691955566,1.0,3322.0,20.391666666666666
108,United Kingdom,40391.84,40391.84,67886.004,280.60200000000003,2.0,2.0,53.149117105263144,-2.3355057017543865,56.8701286315918,732.0,320.0,6.299503722084369
109,United States,67426.84,67426.84,331002.647,36.185,1.2802197802197801,2.0,38.25540915665928,-90.16549383187765,88.8085708618164,214291.0,24011.0,2.433958477761135
110,Uruguay,17818.92,17818.92,3473.7270000000003,19.848,0.0,0.0,-33.2373090909091,-56.05669393939395,,0.0,242.0,22.46166666666667
111,Uzbekistan,2094.94,2094.94,33469.199,78.67699999999999,0.0,0.0,40.69392333333334,66.05160666666669,,0.0,176.0,4.6466666666666665
112,Venezuela,2427.5,2427.5,28435.943,32.238,0.0,0.0,9.391986274509804,-67.18880196078432,,253.0,220.0,26.720000000000002
113,Vietnam,2954.64,2954.64,97338.58300000001,313.925,3.5384615384615383,8.0,15.932505405405408,106.49255405405407,25.0101299285889,,,19.240000000000002
114,Zimbabwe,847.163,847.163,14862.927,38.42,0.0,0.0,-18.826139130434782,29.847134782608702,5.87174987792969,0.0,284.0,21.737931034482767
